age,income,loan_amount,credit_score,employment_years,existing_loans,debt_to_income,default
60,93930.86,17297.07,605,27,2,0.161,0
42,49790.03,27281.19,577,2,2,0.531,1
47,89536.68,9744.36,614,6,1,0.138,0
55,56928.67,11979.56,705,9,2,0.159,0
21,41382.25,17213.78,495,22,2,0.412,1
55,35186.15,4619.92,472,5,2,0.128,1
57,67588.27,8937.15,583,15,3,0.16,0
34,36700.82,15198.86,692,1,2,0.472,1
23,56625.54,12596.36,676,23,1,0.307,0
21,86669.3,19867.26,581,16,4,0.192,0
25,48864.39,37127.84,755,12,3,0.66,0
46,81280.19,15793.11,591,0,0,0.182,0
34,30709.13,8266.3,692,5,2,0.19,0
59,44321.82,26345.92,617,4,4,0.731,1
47,26857.12,2289.45,572,24,4,0.042,0
29,56459.94,3888.73,596,12,3,0.097,0
35,70601.56,10239.17,716,27,0,0.192,0
35,56503.74,12736.91,682,22,1,0.242,0
46,79541.0,10047.42,737,17,4,0.23,0
62,40016.42,14747.9,682,28,4,0.358,1
33,59506.86,17197.94,505,11,4,0.247,0
52,44450.61,23551.68,840,6,4,0.486,0
59,62233.53,15729.51,684,14,3,0.29,0
52,65074.72,10504.43,696,2,0,0.152,0
24,66647.92,23117.16,616,15,4,0.303,0
50,33588.11,8458.28,750,0,1,0.274,0
57,37205.08,1939.18,552,26,1,0.088,0
43,40914.25,24647.65,705,15,2,0.616,1
59,50222.39,24134.83,463,23,4,0.526,1
35,56743.73,8661.61,711,29,4,0.157,0
63,69161.78,11807.21,553,11,4,0.141,0
49,38038.03,7664.58,675,18,4,0.242,1
56,22979.61,17612.99,772,26,4,0.722,1
33,98114.86,28856.39,724,7,1,0.238,0
52,32370.94,20623.05,760,22,0,0.695,1
27,71726.47,23285.8,751,11,0,0.307,0
42,55625.34,21557.83,603,14,2,0.471,1
48,60026.11,14999.05,704,1,1,0.293,0
22,54968.99,23666.72,495,28,4,0.409,1
62,47303.16,20960.24,588,29,0,0.467,0
26,64279.45,26515.57,775,29,3,0.539,0
48,46228.26,11323.61,615,16,3,0.283,0
48,78326.05,1095.11,482,6,3,0.043,0
64,66368.82,23362.01,831,12,4,0.322,0
64,66991.88,17798.16,701,0,4,0.358,0
40,44857.54,12631.63,719,5,2,0.347,0
50,50272.91,13078.78,562,12,2,0.231,0
31,31241.74,35437.49,676,10,2,1.228,1
48,47939.68,9862.44,673,9,3,0.214,1
45,34268.48,8173.57,576,15,4,0.196,0
59,81261.37,15682.27,635,26,3,0.163,0
53,56010.72,24443.93,515,25,2,0.48,0
21,58409.94,33227.22,619,23,4,0.527,1
47,50497.07,20258.92,738,22,1,0.346,0
33,58951.58,4836.73,583,19,0,0.06,0
61,104297.55,30766.91,822,16,0,0.281,0
23,48997.19,14844.25,521,16,2,0.269,1
59,41991.74,8298.32,627,3,3,0.175,0
26,65593.86,6364.86,591,4,1,0.143,0
28,15000.0,21690.63,634,27,4,1.459,1
47,56279.14,16910.64,773,22,3,0.275,0
29,47565.74,17760.6,561,13,2,0.352,0
57,35153.73,25292.02,609,19,3,0.713,1
53,65155.15,8582.76,709,9,2,0.128,0
62,56079.77,25929.24,658,13,0,0.459,0
64,18951.82,10846.74,666,27,0,0.616,1
44,42069.41,32312.06,563,0,3,0.778,1
35,15000.0,19789.91,644,10,1,1.331,1
52,60865.39,7638.09,752,25,4,0.197,0
52,60665.99,1000.0,505,22,2,0.11,0
44,39134.36,21471.4,587,17,4,0.487,1
61,65802.25,12006.56,487,15,0,0.104,0
32,29350.03,13755.47,698,28,1,0.451,1
59,35669.66,21129.57,760,26,1,0.632,0
22,63343.81,23083.31,633,17,4,0.383,0
23,41226.66,24789.68,560,7,0,0.654,1
57,53746.86,5601.27,562,27,4,0.085,0
37,43727.02,26407.16,623,9,3,0.506,1
22,46781.38,10367.64,623,25,1,0.153,0
22,47655.52,1000.0,732,9,1,0.049,0
48,40864.86,5572.48,590,4,3,0.189,0
43,61048.99,16744.2,689,9,0,0.179,0
57,42441.43,7169.49,623,17,1,0.239,0
52,55313.73,14295.64,583,20,2,0.282,0
53,40425.37,17706.02,620,23,2,0.434,1
21,24314.03,13548.92,680,5,0,0.526,1
39,73248.7,11045.17,732,2,3,0.23,0
22,64990.54,4994.43,627,7,4,0.122,0
64,100773.64,15175.55,542,29,0,0.175,0
46,34120.54,1000.0,740,8,4,0.0,0
52,50820.79,9512.02,569,4,0,0.268,1
26,52429.85,7577.73,673,28,2,0.146,0
52,74787.39,13084.99,648,1,3,0.19,0
24,44857.84,13293.36,636,1,2,0.3,0
31,31579.16,22679.65,606,6,3,0.68,1
37,79156.19,27667.82,706,16,4,0.366,0
58,48667.0,6057.77,328,9,0,0.159,1
44,72572.87,30942.66,752,11,1,0.404,0
25,70243.97,8765.64,568,1,1,0.136,0
54,54402.19,16380.21,687,9,3,0.304,0
26,51513.73,19086.9,682,19,3,0.416,0
42,47168.7,34556.66,765,0,2,0.718,1
31,54696.14,10661.74,668,3,1,0.206,0
36,72262.0,1000.0,575,12,2,0.036,0
53,39071.2,26923.04,506,11,4,0.673,1
29,57176.91,8333.01,619,10,1,0.104,0
26,32627.37,12107.29,474,28,4,0.338,1
36,35117.88,6058.0,593,9,0,0.193,0
49,54381.22,12130.37,624,14,2,0.211,0
23,15796.84,8276.87,588,4,3,0.512,1
40,96211.17,20411.53,654,24,1,0.242,0
56,31138.8,15646.33,629,16,2,0.553,1
39,54198.23,9551.56,621,27,3,0.236,0
46,78364.35,22966.98,432,4,0,0.262,0
23,37741.89,17039.97,533,1,1,0.498,1
39,15000.0,1000.0,708,8,4,0.171,0
40,46101.08,22357.63,722,5,0,0.491,0
52,37503.59,16478.94,485,17,3,0.436,1
27,15000.0,26125.86,577,13,1,1.728,1
61,60697.8,15991.34,746,18,1,0.21,0
53,59141.88,8666.33,585,13,0,0.189,0
60,77846.53,13365.64,640,7,1,0.168,0
59,32583.55,21431.35,780,16,3,0.65,1
38,23017.27,8834.1,617,27,0,0.418,0
60,46865.54,11477.63,605,2,4,0.284,0
21,53233.15,13226.49,636,28,0,0.218,0
31,73426.99,5805.03,817,9,0,0.05,0
48,83211.36,8949.41,690,16,4,0.076,0
45,79289.58,16380.4,652,26,3,0.312,0
43,60530.87,24619.82,603,10,2,0.481,1
51,70989.99,17537.18,698,7,2,0.282,0
50,42190.13,14633.11,709,0,4,0.328,0
62,58367.9,8349.83,553,12,3,0.13,0
55,31174.2,23761.28,712,20,1,0.78,1
27,56253.71,18468.04,636,3,4,0.439,0
36,56772.93,9346.16,652,6,2,0.179,0
46,89442.57,22189.19,570,13,3,0.274,0
22,50420.34,19476.62,614,4,0,0.259,0
21,56800.86,8491.76,557,23,3,0.162,0
32,59739.23,14188.97,553,27,3,0.168,0
25,45903.59,11057.82,684,29,2,0.217,0
57,38950.15,36068.3,618,10,2,0.928,1
52,80976.23,19253.96,533,16,1,0.223,0
29,35381.65,16494.1,846,4,1,0.434,0
61,28441.64,18781.3,549,19,4,0.629,1
55,68605.31,26033.3,748,2,0,0.369,0
39,78156.3,14332.96,517,4,1,0.171,0
36,45971.81,10280.73,691,25,2,0.225,0
23,46278.93,21754.27,627,14,3,0.467,1
40,60650.87,13600.44,593,18,4,0.288,0
44,40842.95,6440.84,668,15,1,0.055,0
53,39365.75,4882.51,656,7,3,0.136,0
44,72591.85,27234.37,577,12,3,0.379,0
31,67142.62,16053.16,573,15,1,0.232,0
28,81223.18,10283.46,508,2,0,0.091,0
56,29948.22,13125.32,678,0,0,0.431,1
58,44950.75,21459.56,537,8,4,0.396,1
60,60623.59,12652.76,650,8,0,0.219,0
40,36487.58,3404.64,703,21,4,0.113,0
55,67833.75,17606.73,669,25,2,0.224,0
45,79492.54,24666.78,585,16,1,0.407,0
55,43332.84,24131.71,732,23,3,0.551,0
45,55771.84,10525.36,613,1,4,0.191,0
49,84112.37,25153.38,530,8,0,0.366,1
38,90985.43,16703.6,624,29,4,0.291,0
38,69916.03,24929.18,703,23,4,0.3,0
22,66868.58,19589.5,589,18,0,0.264,0
55,37925.27,2827.23,729,12,0,0.069,0
36,62184.19,28973.91,581,4,1,0.429,0
61,66136.42,15414.27,593,8,3,0.275,0
56,50792.6,19614.35,556,12,1,0.344,1
53,43104.47,4247.64,712,0,1,0.162,0
24,29374.05,19042.61,645,24,0,0.679,1
53,20245.4,23823.42,562,14,0,1.235,1
34,16042.33,30482.56,614,3,3,1.858,1
41,66588.85,26203.2,374,3,4,0.374,0
40,57953.99,19433.8,720,19,1,0.38,0
28,45323.78,2644.98,635,9,3,0.094,0
27,48370.87,16058.18,433,27,1,0.318,1
23,59209.41,10259.92,519,24,4,0.166,0
37,51708.74,16879.82,612,29,1,0.305,0
53,28188.94,5269.39,532,5,2,0.178,1
32,73260.0,13318.66,721,26,3,0.134,0
42,61082.52,10862.54,688,23,0,0.121,0
42,60317.97,10614.67,682,11,1,0.226,0
50,71751.25,10694.11,416,29,3,0.139,1
58,38727.09,13913.16,603,19,3,0.417,1
58,79274.63,17289.56,587,15,1,0.248,0
28,52199.14,1000.0,564,2,0,0.035,0
47,72771.98,1000.0,613,13,0,0.0,0
47,69688.98,12290.47,549,0,1,0.116,0
54,34223.96,13417.85,669,9,3,0.369,0
41,65058.01,16512.89,719,14,0,0.33,0
50,61525.49,9178.62,711,6,1,0.194,0
53,55606.23,15075.72,638,3,1,0.244,0
48,53112.56,16012.19,830,13,1,0.279,0
53,53282.14,9123.54,753,23,3,0.125,0
25,71253.79,23107.65,641,15,0,0.247,0
39,66558.21,16415.89,607,13,3,0.252,0
24,55609.58,19375.69,770,2,2,0.435,0
55,25161.28,15550.77,741,16,0,0.705,1
37,64888.87,31829.38,523,20,3,0.521,1
64,69472.27,19771.18,748,13,0,0.254,0
48,101008.2,11096.05,636,17,2,0.037,0
50,76508.66,21567.74,573,2,4,0.334,0
49,17016.47,1899.16,472,29,1,0.134,1
26,56568.59,15956.8,626,21,3,0.266,0
55,91227.5,17553.28,649,18,2,0.168,0
61,67470.98,16048.17,793,2,2,0.268,0
57,61573.04,12329.77,736,11,0,0.159,0
44,73004.57,6901.81,598,21,0,0.107,0
49,42552.44,8685.22,685,4,1,0.143,0
51,64561.8,15816.6,724,9,0,0.356,0
55,49990.64,6091.85,658,8,3,0.088,0
53,54607.53,29161.34,597,0,3,0.566,1
41,71569.09,1000.0,602,12,3,0.0,0
52,36465.74,12412.5,685,2,4,0.332,0
43,80759.65,15883.12,687,18,3,0.241,0
53,46543.76,19059.37,624,10,0,0.465,0
23,60213.26,7672.6,414,15,0,0.166,0
38,26989.84,24074.36,534,5,3,0.885,1
45,69396.75,3849.35,706,23,2,0.022,0
62,83930.08,10470.97,458,2,2,0.071,0
51,44707.17,19965.98,757,18,2,0.522,0
23,32795.53,23321.51,743,5,1,0.716,1
60,60559.66,3767.99,654,7,4,0.077,0
44,84096.21,36160.29,704,21,3,0.488,0
52,26002.87,7820.07,698,12,1,0.33,0
42,32873.84,4502.54,639,11,2,0.131,0
43,45916.21,19021.72,526,29,3,0.451,0
22,38593.12,12213.65,737,9,1,0.285,1
47,38656.29,11031.58,777,2,0,0.208,0
62,15000.0,19765.15,541,3,2,1.388,1
22,66781.14,2781.63,523,0,1,0.015,0
46,61774.41,1382.92,638,12,0,0.007,0
37,21023.02,10220.61,594,23,2,0.475,1
60,84143.92,23623.21,663,3,4,0.251,0
53,88621.85,10567.56,759,21,2,0.174,0
29,39981.89,27793.25,448,10,4,0.714,1
63,78330.97,24608.12,792,18,4,0.299,0
59,43540.04,17263.57,613,10,4,0.333,1
49,58622.33,17717.79,696,11,3,0.317,0
62,38284.76,17256.02,706,10,3,0.328,0
46,99285.03,16277.74,716,5,4,0.176,0
55,49079.66,12070.07,656,11,0,0.313,0
45,57528.98,12998.5,677,26,4,0.229,0
44,41241.25,6440.32,676,8,1,0.216,0
33,92226.31,1000.0,593,24,4,0.0,0
27,92732.29,23832.56,492,9,3,0.359,0
56,87618.58,16258.07,540,2,3,0.24,0
40,74128.81,15049.69,641,2,1,0.227,0
21,42504.21,18187.59,579,19,1,0.398,0
28,71557.0,8372.82,579,27,2,0.079,0
36,54859.14,6991.5,812,22,0,0.124,0
34,81248.17,12730.52,727,15,0,0.217,0
32,77318.04,25944.79,627,2,0,0.27,0
43,42014.69,5650.07,710,9,3,0.135,0
35,73956.52,1000.0,612,23,0,0.05,0
48,68640.69,10828.79,660,10,2,0.204,0
54,15000.0,24141.6,690,7,2,1.646,1
22,71018.73,1139.65,612,5,0,0.0,0
52,46364.08,5557.73,588,19,1,0.176,0
43,37279.15,17108.37,760,10,2,0.462,0
42,38134.79,35559.26,705,27,1,0.878,1
45,52295.14,4134.31,447,26,3,0.078,0
42,64601.19,3824.53,590,20,2,0.0,0
42,27690.76,17709.59,580,11,1,0.668,1
62,58796.96,24637.4,594,15,0,0.413,0
26,66535.16,10007.21,728,17,3,0.087,0
35,92236.12,2028.85,652,12,4,0.007,0
63,33466.2,18469.99,525,21,4,0.517,1
57,48007.76,19918.73,616,2,0,0.383,0
53,60233.26,29229.24,699,14,3,0.372,0
28,77948.19,20255.58,630,21,3,0.176,0
64,48915.52,21624.53,592,27,3,0.431,1
64,78972.83,12902.84,680,20,3,0.143,0
25,16252.75,34532.03,796,13,4,2.0,1
59,29933.04,11814.86,692,17,1,0.363,1
24,61972.89,10104.62,767,27,3,0.137,0
26,26783.51,29476.12,598,28,1,1.077,1
52,31510.59,3206.1,649,13,3,0.092,0
50,44444.46,1000.0,647,4,2,0.027,0
55,70428.78,15956.46,661,20,2,0.206,0
60,17080.7,14986.11,690,13,2,0.906,1
36,58405.97,13176.9,567,24,3,0.341,0
33,75659.28,22951.44,708,26,1,0.262,0
62,51101.1,7734.35,503,7,4,0.171,1
50,47623.4,15513.34,530,27,0,0.327,0
39,63035.43,12119.15,842,27,4,0.245,0
37,51157.78,7870.25,604,22,3,0.164,0
39,82810.0,14505.28,716,14,2,0.139,0
48,32771.74,21820.77,803,27,2,0.608,1
46,53967.12,31964.54,442,28,1,0.623,1
57,59113.73,19635.35,751,14,3,0.278,0
46,47430.92,1000.0,708,29,4,0.08,0
43,15000.0,14694.88,798,18,3,1.007,1
29,51781.9,15398.42,544,25,3,0.302,0
32,73003.54,22489.67,781,19,2,0.242,0
21,70562.18,16478.48,583,5,4,0.267,0
21,62095.57,25024.71,745,18,0,0.484,0
54,33042.75,18133.36,647,26,2,0.528,0
52,62906.19,27470.38,719,24,4,0.4,0
45,43531.24,11490.03,654,7,1,0.259,0
60,62069.66,16154.75,484,5,2,0.284,0
21,57430.1,21613.13,369,19,1,0.35,1
36,35472.49,10422.45,669,22,2,0.339,0
59,37150.88,8679.9,626,28,3,0.329,0
25,62100.45,9965.18,686,14,4,0.177,0
42,50577.74,9006.28,627,26,1,0.162,0
49,38194.37,19180.5,832,2,2,0.524,0
23,36543.4,1000.0,671,9,1,0.086,0
32,48923.38,2552.24,610,14,2,0.06,0
46,86362.1,29901.97,680,23,2,0.37,0
36,44478.44,9199.23,611,15,0,0.242,0
57,54719.61,16600.12,658,16,0,0.26,0
42,57032.89,3086.83,540,18,0,0.077,0
49,32379.47,15752.99,649,10,1,0.419,0
34,19743.35,9247.95,607,15,3,0.435,1
48,34467.19,2495.28,549,4,2,0.13,0
25,59941.55,25695.36,828,4,4,0.472,0
50,56746.62,24460.53,552,25,0,0.418,0
25,69048.13,14141.16,651,13,1,0.29,0
32,56935.0,22995.35,578,17,1,0.338,0
36,52809.01,30226.34,677,25,1,0.562,0
46,42919.75,21032.61,535,7,4,0.504,1
46,72692.14,18837.44,726,4,4,0.119,0
41,36616.4,16591.6,833,6,0,0.445,0
59,32792.01,20195.98,574,15,4,0.56,1
56,66341.11,12088.64,760,22,0,0.127,0
53,28336.85,12786.91,616,13,4,0.438,1
50,103295.82,18607.13,786,4,4,0.089,0
57,56599.87,11209.08,847,23,4,0.158,0
43,61958.12,12073.6,629,8,0,0.105,0
30,38831.6,15001.49,513,3,2,0.393,1
25,48694.7,24204.86,735,3,0,0.502,0
56,46464.86,5938.69,670,15,2,0.11,0
54,44163.3,21073.43,695,23,1,0.527,1
51,67659.24,21334.37,619,16,1,0.301,0
30,46008.48,21286.5,570,14,0,0.462,1
39,75350.02,8546.03,754,3,2,0.068,0
52,108263.65,1458.55,679,5,2,0.0,0
21,49089.18,19477.6,520,15,2,0.39,1
25,58046.31,16500.31,712,28,1,0.27,0
24,62589.64,23035.01,694,3,0,0.454,0
36,91230.1,9395.71,621,5,3,0.136,0
44,53347.04,21080.95,796,4,2,0.375,0
36,38419.66,23435.3,594,15,2,0.617,1
22,29673.19,14237.52,635,29,3,0.525,0
48,53840.32,18335.44,719,24,0,0.366,0
52,46032.4,18055.73,657,15,2,0.476,0
47,95200.19,8428.24,525,9,0,0.049,0
40,90397.25,19248.77,667,8,2,0.262,0
44,34312.54,27979.99,613,3,4,0.794,1
32,40784.8,15177.63,727,28,2,0.382,0
55,56475.4,3312.6,664,13,4,0.031,0
53,82944.53,9502.19,659,3,0,0.107,0
53,56140.26,1000.0,556,11,2,0.028,0
63,42055.19,25322.09,629,23,1,0.632,1
57,53822.36,21112.84,737,9,1,0.395,0
32,42430.3,10989.05,580,3,3,0.135,0
23,67049.54,3655.52,647,17,1,0.051,0
21,40819.33,8333.64,566,12,4,0.278,0
53,44791.28,9893.78,543,12,1,0.217,0
60,78238.68,15875.26,642,13,1,0.278,0
30,39632.7,15606.07,666,17,1,0.388,0
63,26077.44,25731.46,829,0,2,0.908,1
64,56899.88,9457.96,609,20,3,0.145,0
49,47790.53,2934.5,645,15,0,0.033,0
33,65228.31,5744.17,537,14,3,0.077,0
32,61349.44,14815.8,705,21,4,0.182,0
51,54361.63,9170.58,686,24,2,0.168,0
22,53779.13,12663.93,784,4,2,0.219,0
55,40282.83,11367.73,750,28,1,0.347,0
43,56666.94,22921.91,682,5,1,0.344,0
37,72625.7,10304.27,608,5,4,0.154,0
46,35531.07,11981.26,668,2,2,0.358,0
28,54892.05,20738.27,640,15,0,0.417,0
49,75767.78,10480.14,736,11,3,0.12,0
46,65108.48,18385.7,724,3,2,0.293,0
30,81189.46,17651.88,623,0,0,0.235,0
46,43637.15,16134.13,518,3,0,0.287,1
54,18384.63,5924.83,770,0,3,0.306,0
61,59013.04,24838.19,702,20,0,0.419,0
27,62251.42,32765.47,621,26,4,0.531,0
24,82368.44,15070.63,699,26,0,0.187,0
31,78762.91,6629.16,657,7,4,0.106,0
49,65734.87,15232.82,769,23,0,0.329,0
56,70307.8,22918.88,476,4,1,0.296,0
45,51163.57,10078.5,614,29,0,0.216,0
41,30617.71,13968.81,794,25,4,0.521,1
56,57354.42,17725.23,701,1,0,0.219,0
30,74651.47,24624.38,810,11,0,0.343,0
57,68127.22,21203.39,540,21,0,0.227,0
29,71676.15,21534.94,746,16,4,0.41,0
44,46444.89,11589.85,741,6,0,0.276,0
55,49689.06,18215.35,499,10,3,0.386,1
55,64668.51,9224.29,623,3,3,0.049,0
56,44069.85,21764.21,640,4,4,0.469,0
38,44685.66,24209.76,504,5,1,0.517,1
59,60959.64,19426.91,625,10,3,0.407,0
52,70218.09,12060.72,729,0,2,0.208,0
44,51009.43,13370.18,615,24,3,0.179,0
43,31736.21,29452.13,672,9,2,0.952,1
52,40283.92,12194.32,672,19,4,0.228,0
57,59073.44,23399.95,649,23,1,0.315,0
32,58830.42,17711.13,587,20,2,0.324,0
33,59824.76,12326.91,709,10,2,0.243,0
43,65425.91,4242.81,507,23,3,0.088,0
45,55116.21,16692.8,651,16,2,0.397,1
55,60301.12,15728.81,775,7,4,0.279,0
61,54099.46,29452.28,610,26,4,0.553,1
50,77974.67,8118.46,585,12,4,0.043,0
37,83646.84,33358.15,715,26,3,0.442,0
40,31219.77,18030.48,665,19,1,0.495,0
45,49894.96,18022.63,717,17,3,0.462,0
42,55654.49,10255.42,653,26,4,0.228,0
33,49661.71,17517.65,435,21,3,0.492,1
39,90858.45,18784.41,756,15,4,0.226,0
56,59479.11,22498.62,836,1,0,0.424,0
32,38892.56,7173.42,766,4,0,0.171,0
61,66928.85,26254.25,332,17,2,0.39,1
39,60419.49,17891.32,691,2,1,0.244,0
32,61083.86,19865.83,608,26,0,0.253,0
29,91157.52,13232.46,552,21,4,0.155,0
27,62015.7,7574.86,661,16,3,0.12,0
48,48926.77,15581.8,637,15,3,0.265,0
34,15894.47,16498.36,696,5,2,0.993,1
51,51692.02,3916.57,655,18,3,0.077,0
39,81119.4,21346.28,549,6,0,0.208,0
36,53176.62,22972.2,598,17,3,0.45,1
25,15000.0,9162.68,584,13,0,0.558,1
55,45032.75,6819.32,496,5,0,0.164,0
32,74853.77,12576.31,527,7,1,0.11,0
45,65916.34,15191.16,631,14,2,0.173,0
41,38202.38,12886.63,778,14,4,0.219,0
56,43694.3,14512.66,602,14,0,0.324,0
43,46785.83,16771.82,582,15,2,0.431,1
36,41745.72,4053.85,544,0,4,0.167,0
59,15000.0,4973.63,653,10,3,0.348,1
62,70271.82,1000.0,756,26,2,0.0,0
59,80141.2,22540.36,830,28,2,0.323,0
34,24631.02,15121.82,676,24,2,0.625,0
51,79877.06,23382.81,663,4,3,0.272,0
25,52939.54,5898.1,601,4,3,0.172,0
55,79502.65,15195.26,616,28,2,0.222,0
43,55759.01,16718.61,707,27,1,0.398,0
49,57710.89,10505.74,622,20,0,0.112,0
63,62448.69,2572.58,635,5,3,0.0,0
31,39198.67,28966.97,648,1,1,0.681,1
38,78893.48,26194.27,597,5,3,0.318,0
32,32572.39,11944.54,643,13,2,0.446,1
29,46958.67,19081.82,468,10,1,0.375,1
30,65485.29,11121.67,699,3,4,0.14,0
64,44816.1,7036.77,850,23,0,0.178,0
37,70550.62,29618.09,600,28,0,0.462,0
58,82517.32,1757.05,684,26,3,0.0,0
27,75250.92,12715.97,727,24,0,0.221,0
33,16277.69,15674.59,765,8,4,0.93,1
60,57516.94,28209.89,626,23,1,0.485,1
62,75573.65,22172.71,488,2,1,0.364,0
29,28665.02,1622.0,674,25,2,0.046,0
47,69472.21,14978.0,662,15,1,0.139,0
22,68349.22,15168.48,619,10,3,0.148,0
